"CODIGO_CARGO","SIGLA_PARTIDO","NUM_TURNO","DESCRICAO_CARGO","ANO_ELEICAO","NUMERO_PARTIDO","NUMERO_CANDIDATO","NOME_CANDIDATO","QTDE_VOTOS"
"1","PCB","1","PRESIDENTE","2014","21","21","MAURO LUÍS IASI","47845"
"1","PCO","1","PRESIDENTE","2014","29","29","RUI COSTA PIMENTA","12324"
"1","PRTB","1","PRESIDENTE","2014","28","28","JOSÉ LEVY FIDELIX DA CRUZ","446878"
"1","PSB","1","PRESIDENTE","2014","40","40","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","22176619"
"1","PSC","1","PRESIDENTE","2014","20","20","EVERALDO DIAS PEREIRA","780513"
"1","PSDB","1","PRESIDENTE","2014","45","45","AÉCIO NEVES DA CUNHA","34897211"
"1","PSDB","2","PRESIDENTE","2014","45","45","AÉCIO NEVES DA CUNHA","51041155"
"1","PSDC","1","PRESIDENTE","2014","27","27","JOSE MARIA EYMAEL","61250"
"1","PSOL","1","PRESIDENTE","2014","50","50","LUCIANA KREBS GENRO","1612186"
"1","PSTU","1","PRESIDENTE","2014","16","16","JOSÉ MARIA DE ALMEIDA","91209"
"1","PT","1","PRESIDENTE","2014","13","13","DILMA VANA ROUSSEFF","43267668"
"1","PT","2","PRESIDENTE","2014","13","13","DILMA VANA ROUSSEFF","54501118"
"1","PV","1","PRESIDENTE","2014","43","43","EDUARDO JORGE MARTINS ALVES SOBRINHO","630099"
